"bossid"	"jobid"	"lat"	"lng"
11350166	6161563	39.9256	116.443
11353606	6163545	39.8847	116.473
1135819	3587665	39.907	116.445
11379185	6199003	39.8847	116.473
11383485	6179163	39.8897	116.463
11383506	6179675	39.8897	116.463
11386013	6196945	39.9076	116.445
11401793	6188041	39.9216	116.439
11417275	6194676	39.8991	116.461
1145787	5414850	39.9246	116.467
1202698	234749	39.8959	116.431
1223279	5220777	39.9329	116.456
1229940	4488229	39.8898	116.461
1263238	250508	39.8965	116.462
1263238	2970900	39.8965	116.462
1272861	260736	39.9208	116.461
1275993	2859928	39.894	116.481
1293627	4248906	39.9217	116.439
1317215	5394316	39.9314	116.456
1333560	270564	39.8953	116.461
1333560	1543721	39.8953	116.461
1345956	274341	39.9322	116.457
1368920	5958428	39.895	116.461
1374755	5068129	39.9091	116.474
1374755	5466328	39.9091	116.474
1377515	5020437	39.9091	116.473
1377515	5184091	39.9091	116.473
1387319	3362553	39.9216	116.439
1389545	4550755	39.9342	116.463
1389545	4578485	39.9342	116.463
1393585	4161459	39.9118	116.432
1393585	5174530	39.9118	116.432
1394432	292663	39.9252	116.456
1397233	1081668	39.9285	116.482
1509808	2744883	39.9125	116.47
1510131	330080	39.9125	116.433
1510131	3567797	39.9125	116.433
1515024	333581	39.9102	116.479
1557994	4999985	39.9109	116.459
1563970	4703113	39.8943	116.48
1571251	3586593	39.9325	116.455
1583087	1285011	39.9171	116.452
1596961	774283	39.8926	116.461
1613468	386564	39.9222	116.44
1616671	5499255	39.9173	116.452
1618262	5723497	39.91	116.44
1645440	3002744	39.9286	116.449
1709996	2445572	39.9121	116.461
1715881	4415975	39.9093	116.475
1715881	4864599	39.9093	116.475
1721234	4232056	39.9074	116.46
1721234	4267495	39.9074	116.46
1754371	4660902	39.9161	116.493
1798412	5574878	39.9165	116.452
1804026	5924275	39.9177	116.452
1838306	5795255	39.9299	116.471
1838306	6069396	39.9299	116.471
1838471	6157748	39.9323	116.454
1839855	5312120	39.9001	116.483
1845306	3132468	39.8936	116.482
1845306	3962010	39.8936	116.482
1866038	5385578	39.9244	116.467
1876404	460685	39.9265	116.478
1925738	484287	39.9219	116.44
1932893	1762453	39.9193	116.449
1984406	5698688	39.8955	116.46
1986590	5257717	39.896	116.442
1987122	2904747	39.9323	116.454
1996619	4894879	39.8938	116.479
1999493	604688	39.9349	116.454
2015927	816183	39.916	116.492
2016755	5842967	39.9091	116.481
2017075	4045669	39.9065	116.472
2017397	729261	39.9091	116.474
2017397	1449671	39.9091	116.474
2017397	2051930	39.9091	116.474
2017397	3077561	39.9091	116.474
2022448	3548817	39.9108	116.437
2024658	564480	39.9344	116.465
2039233	2016244	39.8932	116.479
2042710	3343987	39.9039	116.427
2046646	710615	39.9346	116.455
2046646	743417	39.9346	116.455
2046646	2616250	39.9346	116.455
2047737	5131860	39.9197	116.443
2055327	597518	39.8941	116.48
2055327	5920351	39.8941	116.48
2056021	598352	39.9171	116.478
2056021	1928785	39.9171	116.478
2056021	2582752	39.9171	116.478
2056021	2631844	39.9171	116.478
2085974	3740459	39.9192	116.449
2086256	2856541	39.9101	116.479
2094995	863343	39.9225	116.448
2096957	5533369	39.9148	116.471
2096965	2597583	39.9228	116.44
2103673	5550313	39.9093	116.481
2104477	1767173	39.9215	116.438
2111347	6109654	39.894	116.479
